country,country_code,cpi_score,gdp_growth,control_of_corruption,government_effectiveness,regulatory_quality,fdi_inflow
Congo,COG,23.0,2.57966943921721,-1.34527885913849,-1.33428740501404,-1.23940634727478,
Costa Rica,CRI,58.0,4.32122429646145,0.653749406337738,0.260196477174759,0.543547570705414,4322.0
Cote d'Ivoire,CIV,45.0,6.01953461940062,-0.313007414340973,-0.359512031078339,-0.116081379354,
Croatia,HRV,47.0,3.82688702890739,0.181928679347038,0.712653696537018,0.643900275230408,4377.0
Cuba,CUB,41.0,-1.06173273220524,-0.0550908595323563,-0.475527822971344,-1.50136196613312,
Cyprus,CYP,56.0,3.94077381708404,0.332707405090332,0.73773992061615,0.778258264064789,7386.0
Czechia,CZE,56.0,1.23308611983484,0.767809867858887,1.1140114068985,1.30448853969574,10165.0
Democratic Republic of Congo,COD,20.0,6.12675551779212,-1.48051190376282,-1.68906629085541,-1.40857565402985,
Denmark,DNK,90.0,3.47783593140312,2.37605309486389,2.01564884185791,1.83951985836029,6898.0
Djibouti,DJI,31.0,6.98048467276334,-0.780927419662476,-0.731475412845612,-0.933053493499756,68.0
Dominica,DMA,60.0,2.052738472526,0.544514536857605,0.260825008153915,0.308252662420273,33.0
Dominican Republic,DOM,36.0,4.95352204492849,-0.449474930763245,0.12803441286087,0.171186909079552,4523.0
East Timor,TLS,44.0,-9.10069369772735,-0.22670416533947,-0.841954410076141,-0.487927585840225,247.0
Ecuador,ECU,32.0,-2.00125476341026,-0.647337436676025,-0.494244992733002,-0.718200981616974,232.0
Egypt,EGY,30.0,2.3991692678251,-0.747790396213531,-0.239516973495483,-0.665456295013428,
El Salvador,SLV,30.0,2.60202016121069,-0.561315059661865,0.0504390224814415,-0.307905405759811,640.0
Equatorial Guinea,GNQ,13.0,0.907248245986736,-1.57037270069122,-1.32034909725189,-1.47442591190338,188.0
Estonia,EST,76.0,-0.0900428648493801,1.53812229633331,1.2634699344635,1.42964351177216,783.0
Eswatini,SWZ,27.0,2.97391075973985,-0.73498547077179,-0.884958326816559,-0.717471897602081,93.0
Ethiopia,ETH,37.0,7.61277447511073,-0.465061634778976,-0.768662095069885,-1.0210794210434,3984.0
Fiji,FJI,55.0,3.53085896076352,0.50627201795578,0.490778684616089,-0.0902230963110924,204.0
Finland,FIN,88.0,0.416171964862073,2.22151660919189,1.73860657215118,1.76514935493469,1848.0
France,FRA,67.0,1.19046798275883,1.18482184410095,1.14462625980377,1.15350544452667,33736.0
