Entity,Code,Year,Corruption Perceptions Index,World region according to OWID,time,time
Seychelles,SYC,2024,72,Africa,2023,2024
Sierra Leone,SLE,2024,33,Africa,2023,2024
Singapore,SGP,2024,84,Asia,2023,2024
Slovakia,SVK,2024,49,Europe,2023,2024
Slovenia,SVN,2024,60,Europe,2023,2024
Solomon Islands,SLB,2024,43,Oceania,2023,2024
Somalia,SOM,2024,9,Africa,2023,2024
South Africa,ZAF,2024,41,Africa,2023,2024
South Korea,KOR,2024,64,Asia,2023,2024
South Sudan,SSD,2024,8,Africa,2023,2024
Spain,ESP,2024,56,Europe,2023,2024
Sri Lanka,LKA,2024,32,Asia,2023,2024
Sudan,SDN,2024,15,Africa,2023,2024
Suriname,SUR,2024,40,South America,2023,2024
Sweden,SWE,2024,80,Europe,2023,2024
Switzerland,CHE,2024,81,Europe,2023,2024
Syria,SYR,2024,12,Asia,2023,2024
Taiwan,TWN,2024,67,Asia,2023,2024
Tajikistan,TJK,2024,19,Asia,2023,2024
Tanzania,TZA,2024,41,Africa,2023,2024
Thailand,THA,2024,34,Asia,2023,2024
Togo,TGO,2024,32,Africa,2023,2024
Trinidad and Tobago,TTO,2024,41,North America,2023,2024
Tunisia,TUN,2024,39,Africa,2023,2024
Turkey,TUR,2024,34,Asia,2023,2024
Turkmenistan,TKM,2024,17,Asia,2023,2024
Uganda,UGA,2024,26,Africa,2023,2024
Ukraine,UKR,2024,35,Europe,2023,2024
United Arab Emirates,ARE,2024,68,Asia,2023,2024
United Kingdom,GBR,2024,71,Europe,2023,2024
United States,USA,2024,65,North America,2023,2024
Uruguay,URY,2024,76,South America,2023,2024
Uzbekistan,UZB,2024,32,Asia,2023,2024
Vanuatu,VUT,2024,50,Oceania,2023,2024
Venezuela,VEN,2024,10,South America,2023,2024
Vietnam,VNM,2024,40,Asia,2023,2024
Yemen,YEM,2024,13,Asia,2023,2024
Zambia,ZMB,2024,39,Africa,2023,2024
Zimbabwe,ZWE,2024,21,Africa,2023,2024
